Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Apertura,1,Fri Jul 5 2024,19:00,CST/-0600,Gallos Blancos,1-2,0-1,Club Tijuana,2024-07-06T01:00Z
Apertura,1,Fri Jul 5 2024,21:10,CST/-0600,FC Juárez,2-2,1-0,Atlas Guadalajara,2024-07-06T03:10Z
Apertura,1,Fri Jul 5 2024,16:45,CST/-0600,Puebla FC,1-0,0-0,Santos Laguna,2024-07-05T22:45Z
Apertura,1,Sat Jul 6 2024,17:00,CST/-0600,Atlético San Luis,2-1,1-1,CF América,2024-07-06T23:00Z
Apertura,1,Sat Jul 6 2024,19:00,CST/-0600,UANL Tigres,1-0,1-0,Club Necaxa,2024-07-07T01:00Z
Apertura,1,Sat Jul 6 2024,19:00,CST/-0600,Deportivo Guadalajara,0-0,0-0,Deportivo Toluca,2024-07-07T01:00Z
Apertura,1,Sat Jul 6 2024,21:00,CST/-0600,Cruz Azul,1-0,0-0,Mazatlán FC,2024-07-07T03:00Z
Apertura,1,Sun Jul 7 2024,19:00,CST/-0600,CF Pachuca,0-1,0-1,CF Monterrey,2024-07-08T01:00Z
Apertura,1,Sun Jul 7 2024,12:00,CST/-0600,Pumas UNAM,4-1,2-1,Club León,2024-07-07T18:00Z
Apertura,2,Fri Jul 12 2024,19:00,CST/-0600,CF América,3-1,2-1,Gallos Blancos,2024-07-13T01:00Z
Apertura,2,Fri Jul 12 2024,21:00,CST/-0600,Mazatlán FC,2-2,0-0,Atlético San Luis,2024-07-13T03:00Z
Apertura,2,Fri Jul 12 2024,21:00,CST/-0600,Club Tijuana,4-2,1-0,Deportivo Guadalajara,2024-07-13T03:00Z
Apertura,2,Fri Jul 12 2024,21:05,CST/-0600,Atlas Guadalajara,1-1,1-0,UANL Tigres,2024-07-13T03:05Z
Apertura,2,Sat Jul 13 2024,17:00,CST/-0600,Club León,0-0,0-0,CF Pachuca,2024-07-13T23:00Z
Apertura,2,Sat Jul 13 2024,19:05,CST/-0600,Santos Laguna,1-1,1-1,Pumas UNAM,2024-07-14T01:05Z
Apertura,2,Sat Jul 13 2024,19:10,CST/-0600,Deportivo Toluca,3-2,2-0,FC Juárez,2024-07-14T01:10Z
Apertura,2,Sat Jul 13 2024,21:10,CST/-0600,CF Monterrey,0-4,0-2,Cruz Azul,2024-07-14T03:10Z
Apertura,2,Sat Jul 13 2024,17:00,CST/-0600,Club Necaxa,4-1,2-0,Puebla FC,2024-07-13T23:00Z
Apertura,3,Tue Jul 16 2024,19:00,CST/-0600,Gallos Blancos,0-2,0-1,Deportivo Guadalajara,2024-07-17T01:00Z
Apertura,3,Tue Jul 16 2024,19:00,CST/-0600,Atlas Guadalajara,1-0,0-0,Santos Laguna,2024-07-17T01:00Z
Apertura,3,Tue Jul 16 2024,19:00,CST/-0600,CF Pachuca,2-0,1-0,Atlético San Luis,2024-07-17T01:00Z
Apertura,3,Tue Jul 16 2024,21:00,CST/-0600,Puebla FC,2-2,1-1,Club León,2024-07-17T03:00Z
Apertura,3,Tue Jul 16 2024,21:05,CST/-0600,Cruz Azul,3-0,2-0,Club Tijuana,2024-07-17T03:05Z
Apertura,3,Wed Jul 17 2024,19:06,CST/-0600,FC Juárez,1-2,1-0,Pumas UNAM,2024-07-18T01:06Z
Apertura,3,Wed Jul 17 2024,21:00,CST/-0600,Deportivo Toluca,3-0,2-0,Mazatlán FC,2024-07-18T03:00Z
Apertura,3,Wed Jul 17 2024,21:00,CST/-0600,UANL Tigres,1-0,0-0,CF América,2024-07-18T03:00Z
Apertura,3,Wed Jul 17 2024,19:00,CST/-0600,Club Necaxa,0-1,0-0,CF Monterrey,2024-07-18T01:00Z
Apertura,4,Fri Jul 19 2024,21:05,CST/-0600,Puebla FC,1-2,0-2,Atlas Guadalajara,2024-07-20T03:05Z
Apertura,4,Fri Jul 19 2024,19:00,CST/-0600,Atlético San Luis,1-1,1-1,Club Tijuana,2024-07-20T01:00Z
Apertura,4,Sat Jul 20 2024,17:05,CST/-0600,Deportivo Guadalajara,2-0,0-0,Mazatlán FC,2024-07-20T23:05Z
Apertura,4,Sat Jul 20 2024,19:00,CST/-0600,Santos Laguna,0-3,0-0,UANL Tigres,2024-07-21T01:00Z
Apertura,4,Sat Jul 20 2024,19:00,CST/-0600,CF Monterrey,2-1,1-0,Gallos Blancos,2024-07-21T01:00Z
Apertura,4,Sat Jul 20 2024,21:05,CST/-0600,Cruz Azul,1-1,0-1,Deportivo Toluca,2024-07-21T03:05Z
Apertura,4,Sat Jul 20 2024,21:10,CST/-0600,FC Juárez,1-2,1-1,CF América,2024-07-21T03:10Z
Apertura,4,Sun Jul 21 2024,19:05,CST/-0600,Club León,1-1,0-1,Club Necaxa,2024-07-22T01:05Z
Apertura,4,Sun Jul 21 2024,17:00,CST/-0600,Pumas UNAM,2-0,1-0,CF Pachuca,2024-07-21T23:00Z
Apertura,16,Fri Aug 16 2024,19:00,CST/-0600,Puebla FC,1-2,0-1,CF Monterrey,2024-08-17T01:00Z
Apertura,8,Sun Aug 18 2024,18:05,CST/-0600,Club Tijuana,3-1,2-1,Santos Laguna,2024-08-19T00:05Z
Apertura,13,Sun Aug 18 2024,20:00,CST/-0600,Atlético San Luis,4-0,2-0,Gallos Blancos,2024-08-19T02:00Z
Apertura,5,Fri Aug 23 2024,21:05,CST/-0600,Club Tijuana,2-2,1-2,CF Monterrey,2024-08-24T03:05Z
